count,year,month,day,date,dayow
74817,2014,2,25,2014-02-25T00:00:00Z,2
82935,2014,2,26,2014-02-26T00:00:00Z,3
90649,2014,2,27,2014-02-27T00:00:00Z,4
101472,2014,2,28,2014-02-28T00:00:00Z,5
101036,2014,3,1,2014-03-01T00:00:00Z,6
78270,2014,3,2,2014-03-02T00:00:00Z,0
73419,2014,3,3,2014-03-03T00:00:00Z,1
77257,2014,3,4,2014-03-04T00:00:00Z,2
79848,2014,3,5,2014-03-05T00:00:00Z,3
86060,2014,3,6,2014-03-06T00:00:00Z,4
93963,2014,3,7,2014-03-07T00:00:00Z,5
99595,2014,3,8,2014-03-08T00:00:00Z,6
74449,2014,3,9,2014-03-09T00:00:00Z,0
68951,2014,3,10,2014-03-10T00:00:00Z,1
76179,2014,3,11,2014-03-11T00:00:00Z,2
83890,2014,3,12,2014-03-12T00:00:00Z,3
94140,2014,3,13,2014-03-13T00:00:00Z,4
109958,2014,3,14,2014-03-14T00:00:00Z,5
150797,2014,3,15,2014-03-15T00:00:00Z,6
93701,2014,3,16,2014-03-16T00:00:00Z,0
84767,2014,3,17,2014-03-17T00:00:00Z,1
81334,2014,3,18,2014-03-18T00:00:00Z,2
86133,2014,3,19,2014-03-19T00:00:00Z,3
91192,2014,3,20,2014-03-20T00:00:00Z,4
102682,2014,3,21,2014-03-21T00:00:00Z,5
102193,2014,3,22,2014-03-22T00:00:00Z,6
87367,2014,3,23,2014-03-23T00:00:00Z,0
76888,2014,3,24,2014-03-24T00:00:00Z,1
79261,2014,3,25,2014-03-25T00:00:00Z,2
82467,2014,3,26,2014-03-26T00:00:00Z,3
91475,2014,3,27,2014-03-27T00:00:00Z,4
103532,2014,3,28,2014-03-28T00:00:00Z,5
101788,2014,3,29,2014-03-29T00:00:00Z,6
84634,2014,3,30,2014-03-30T00:00:00Z,0
72745,2014,3,31,2014-03-31T00:00:00Z,1
79601,2014,4,1,2014-04-01T00:00:00Z,2
81162,2014,4,2,2014-04-02T00:00:00Z,3
96449,2014,4,3,2014-04-03T00:00:00Z,4
114647,2014,4,4,2014-04-04T00:00:00Z,5
109188,2014,4,5,2014-04-05T00:00:00Z,6
87812,2014,4,6,2014-04-06T00:00:00Z,0
75423,2014,4,7,2014-04-07T00:00:00Z,1
80753,2014,4,8,2014-04-08T00:00:00Z,2
87593,2014,4,9,2014-04-09T00:00:00Z,3
91099,2014,4,10,2014-04-10T00:00:00Z,4
98972,2014,4,11,2014-04-11T00:00:00Z,5
98687,2014,4,12,2014-04-12T00:00:00Z,6
82114,2014,4,13,2014-04-13T00:00:00Z,0
79294,2014,4,14,2014-04-14T00:00:00Z,1
83592,2014,4,15,2014-04-15T00:00:00Z,2
86021,2014,4,16,2014-04-16T00:00:00Z,3
89814,2014,4,17,2014-04-17T00:00:00Z,4
97573,2014,4,18,2014-04-18T00:00:00Z,5
88123,2014,4,19,2014-04-19T00:00:00Z,6
63024,2014,4,20,2014-04-20T00:00:00Z,0
69232,2014,4,21,2014-04-21T00:00:00Z,1
78883,2014,4,22,2014-04-22T00:00:00Z,2
89973,2014,4,23,2014-04-23T00:00:00Z,3
96508,2014,4,24,2014-04-24T00:00:00Z,4
105023,2014,4,25,2014-04-25T00:00:00Z,5
111709,2014,4,26,2014-04-26T00:00:00Z,6
87081,2014,4,27,2014-04-27T00:00:00Z,0
79492,2014,4,28,2014-04-28T00:00:00Z,1
77776,2014,4,29,2014-04-29T00:00:00Z,2
86584,2014,4,30,2014-04-30T00:00:00Z,3
93957,2014,5,1,2014-05-01T00:00:00Z,4
108482,2014,5,2,2014-05-02T00:00:00Z,5
111336,2014,5,3,2014-05-03T00:00:00Z,6
89895,2014,5,4,2014-05-04T00:00:00Z,0
84704,2014,5,5,2014-05-05T00:00:00Z,1
83996,2014,5,6,2014-05-06T00:00:00Z,2
82394,2014,5,7,2014-05-07T00:00:00Z,3
88781,2014,5,8,2014-05-08T00:00:00Z,4
104995,2014,5,9,2014-05-09T00:00:00Z,5
98647,2014,5,10,2014-05-10T00:00:00Z,6
75512,2014,5,11,2014-05-11T00:00:00Z,0
74774,2014,5,12,2014-05-12T00:00:00Z,1
83682,2014,5,13,2014-05-13T00:00:00Z,2
91879,2014,5,14,2014-05-14T00:00:00Z,3
102100,2014,5,15,2014-05-15T00:00:00Z,4
120392,2014,5,16,2014-05-16T00:00:00Z,5
116418,2014,5,17,2014-05-17T00:00:00Z,6
103126,2014,5,18,2014-05-18T00:00:00Z,0
88874,2014,5,19,2014-05-19T00:00:00Z,1
90890,2014,5,20,2014-05-20T00:00:00Z,2
91637,2014,5,21,2014-05-21T00:00:00Z,3
91307,2014,5,22,2014-05-22T00:00:00Z,4
96342,2014,5,23,2014-05-23T00:00:00Z,5
97114,2014,5,24,2014-05-24T00:00:00Z,6
90451,2014,5,25,2014-05-25T00:00:00Z,0
61281,2014,5,26,2014-05-26T00:00:00Z,1
73958,2014,5,27,2014-05-27T00:00:00Z,2
80073,2014,5,28,2014-05-28T00:00:00Z,3
87397,2014,5,29,2014-05-29T00:00:00Z,4
108027,2014,5,30,2014-05-30T00:00:00Z,5
